study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp
PRJNA842889	SAMN28690099	SRX15537798	SRR19484949	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/049/SRR19484949/SRR19484949.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/049/SRR19484949
PRJNA842889	SAMN28690098	SRX15537797	SRR19484950	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/050/SRR19484950/SRR19484950.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/050/SRR19484950
PRJNA842889	SAMN28690097	SRX15537796	SRR19484951	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/051/SRR19484951/SRR19484951.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/051/SRR19484951
PRJNA842889	SAMN28690096	SRX15537795	SRR19484952	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/052/SRR19484952/SRR19484952.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/052/SRR19484952
PRJNA842889	SAMN28690095	SRX15537794	SRR19484953	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/053/SRR19484953/SRR19484953.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/053/SRR19484953
PRJNA842889	SAMN28690059	SRX15537793	SRR19484954	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/054/SRR19484954/SRR19484954.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/054/SRR19484954
PRJNA842889	SAMN28690094	SRX15537792	SRR19484955	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/055/SRR19484955/SRR19484955.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/055/SRR19484955
PRJNA842889	SAMN28690093	SRX15537791	SRR19484956	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/056/SRR19484956/SRR19484956.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/056/SRR19484956
PRJNA842889	SAMN28690092	SRX15537790	SRR19484957	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/057/SRR19484957/SRR19484957.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/057/SRR19484957
PRJNA842889	SAMN28690091	SRX15537789	SRR19484958	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/058/SRR19484958/SRR19484958.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/058/SRR19484958
PRJNA842889	SAMN28690090	SRX15537788	SRR19484959	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/059/SRR19484959/SRR19484959.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/059/SRR19484959
PRJNA842889	SAMN28690089	SRX15537787	SRR19484960	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/060/SRR19484960/SRR19484960.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/060/SRR19484960
PRJNA842889	SAMN28690088	SRX15537786	SRR19484961	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/061/SRR19484961/SRR19484961.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/061/SRR19484961
PRJNA842889	SAMN28690384	SRX15537785	SRR19484962	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/062/SRR19484962/SRR19484962.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/062/SRR19484962
PRJNA842889	SAMN28690383	SRX15537784	SRR19484963	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/063/SRR19484963/SRR19484963.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/063/SRR19484963
PRJNA842889	SAMN28690382	SRX15537783	SRR19484964	410658	soil metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR194/064/SRR19484964/SRR19484964.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR194/064/SRR19484964
